type,symbol,exchangeId,localSymbol,description,conid,underConid,isin,cusip,currency,country,isPrimeExchId,isNewPdt,assocEntityId,fcConid
STK,FPH,CHIXAU,FPH,FISHER & PAYKEL HEALTHCARE C,14063387,,NZFAPE0001S2,Q38992105,AUD,AU,,F,e1442371,1
STK,FPR,ASX,FPR,FLEETPARTNERS GROUP LTD,623526589,,AU0000272924,Q3383Q139,AUD,AU,T,F,e2814638,1
STK,FRB,ASX,FRB,FIREBIRD METALS LTD,476357942,,AU0000134694,Q3917H100,AUD,AU,T,F,e4235731,1
STK,FRE,ASX,FRE,FIREBRICK PHARMA LTD,541183088,,AU0000197352,Q3917K103,AUD,AU,T,F,e4649700,1
STK,FRI,ASX,FRI,FINBAR GROUP LTD,14063370,,AU000000FRI9,Q38191120,AUD,AU,T,F,e1442373,1
STK,FRM,ASX,FRM,FARM PRIDE FOODS LIMITED,14063345,,AU000000FRM1,Q3734H101,AUD,AU,T,F,e1442374,1
STK,FRS,ASX,FRS,FORRESTANIA RESOURCES LTD,517577703,,AU0000171621,Q3929S102,AUD,AU,T,F,e4496363,1
STK,FRW,CHIXAU,FRW,FREIGHTWAYS GROUP LTD,653561328,,NZFREE0001S0,Q3956J108,AUD,AU,,F,e1453543,1
STK,FRX,ASXCEN,FRX,FLEXIROAM LTD,197047851,,AU000000FRX8,Q39179108,AUD,AU,,F,e2864149,1
STK,FSA,CHIXAU,FSA,FSA GROUP LTD,44200745,,AU000000FSA4,Q39595121,AUD,AU,,F,e1438797,1
STK,FSI,CHIXAU,FSI,FLAGSHIP INVESTMENTS LTD,116521940,,AU000000FSI7,Q4789L138,AUD,AU,,F,e1443076,1
STK,FTI,CHIXAU,FTI,FORTIFAI LTD,802465539,,AU0000408056,Q5917C197,AUD,AU,,F,e4286504,1
# STK,FTZNA,ASXCEN,FTZNA,FERTOZ LTD-NEW SHARES,481300111,,AU0000139156,,AUD,AU,,F,e1680656,1
STK,FUL,CHIXAU,FUL,FULCRUM LITHIUM LTD,743595265,,AU0000352098,Q3R4C0105,AUD,AU,,F,e5801588,1
